City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
177,Nome,US,64.5011,-165.4064,-2.13,65,0,4.61,clear sky
178,Wuwei,CN,37.9281,102.6414,26.22,31,96,4.94,overcast clouds
179,Kristiinankaupunki,FI,62.2743,21.376,15.66,91,65,12.77,broken clouds
180,Chokurdakh,RU,70.6333,147.9167,-23.51,97,63,2.46,broken clouds
181,Bendigo,AU,-36.7667,144.2833,94.86,32,0,1.99,clear sky
182,Dwarka,IN,22.2394,68.9678,75.18,67,0,10.11,clear sky
183,Tura,IN,25.5198,90.2201,69.1,35,2,4.7,clear sky
184,Wenatchee,US,47.4235,-120.3103,39.22,92,100,4.61,overcast clouds
185,Mao,ES,39.8885,4.2658,48.76,87,0,6.91,clear sky
186,Impfondo,CG,1.6381,18.0667,68.72,36,100,2.77,overcast clouds
187,Kostyantynivka,UA,48.5277,37.7069,32.94,88,100,18.52,overcast clouds
188,Saint George,US,37.1041,-113.5841,51.35,31,0,4.0,clear sky
189,Camana,PE,-16.6228,-72.7111,69.57,81,78,6.24,broken clouds
190,Agirish,RU,61.9247,63.0231,0.52,96,100,2.59,overcast clouds
191,Nishihara,JP,26.1842,127.7558,64.45,57,75,10.36,broken clouds
192,Kavaratti,IN,10.5669,72.642,81.43,73,1,8.61,clear sky
193,Constitucion,CL,-35.3333,-72.4167,58.8,66,0,7.52,clear sky
194,Moyale,KE,3.5167,39.0584,75.76,25,89,17.27,overcast clouds
195,Marawi,PH,7.9986,124.2928,74.64,76,100,6.51,overcast clouds
196,Broome,US,42.2506,-75.833,9.54,82,41,2.04,scattered clouds
197,Vaini,TO,-21.2,-175.2,81.28,70,100,15.46,overcast clouds
198,Bani Walid,LY,31.7566,13.9942,46.0,45,0,7.18,clear sky
199,Riyadh,SA,24.6877,46.7219,55.45,38,0,8.05,clear sky
200,Lagoa,PT,39.05,-27.9833,58.37,72,30,25.41,scattered clouds
201,Ponferrada,ES,42.5466,-6.5962,42.06,58,1,1.12,clear sky
202,Guerrero Negro,MX,27.9769,-114.0611,59.49,70,71,9.37,broken clouds
