City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
104,San Policarpo,PH,2022-01-30 07:40:52,12.1791,125.5072,82.58,75,19,5.75
105,Cherskiy,RU,2022-01-30 07:39:19,68.75,161.3,-27.13,100,58,2.59
106,Mar Del Plata,AR,2022-01-30 07:35:29,-38.0023,-57.5575,69.87,88,0,21.0
107,Svetlyy,RU,2022-01-30 07:40:54,54.675,20.1347,39.25,83,100,28.81
108,Codrington,AU,2022-01-30 07:40:55,-38.2667,141.9667,70.52,78,10,12.06
109,Montlucon,FR,2022-01-30 07:40:56,46.3333,2.6,41.68,99,100,1.36
110,Kungalv,SE,2022-01-30 07:40:57,57.871,11.9805,45.46,58,94,5.01
111,Flinders,AU,2022-01-30 07:37:30,-34.5833,150.8552,81.21,79,82,4.45
112,Half Moon Bay,US,2022-01-30 07:31:12,37.4636,-122.4286,54.27,60,0,0.0
113,Kahului,US,2022-01-30 07:31:20,20.8947,-156.47,73.85,72,0,5.75
114,Alofi,NU,2022-01-30 07:35:00,-19.0595,-169.9187,78.69,89,100,9.22
115,Huntsville,US,2022-01-30 07:37:30,34.7304,-86.5861,32.2,56,0,21.99
116,Yafran,LY,2022-01-30 07:41:00,32.0633,12.5286,42.76,79,100,11.16
117,Najran,SA,2022-01-30 07:41:02,17.4924,44.1277,65.05,34,35,4.21
118,Xiongyue,CN,2022-01-30 07:41:04,40.1774,122.1228,26.98,47,0,1.86
119,Sao Filipe,CV,2022-01-30 07:39:15,14.8961,-24.4956,70.3,73,100,12.68
120,Saldanha,ZA,2022-01-30 07:33:12,-33.0117,17.9442,73.45,62,0,10.33
121,Unhel,IN,2022-01-30 07:41:07,23.3333,75.5667,77.5,18,0,5.99
122,Birao,CF,2022-01-30 07:41:08,10.2849,22.7882,74.75,11,8,11.43
123,Peniche,PT,2022-01-30 07:37:59,39.3558,-9.3811,52.93,44,100,9.06
124,Kajiado,KE,2022-01-30 07:41:09,-1.8524,36.7768,67.48,41,44,11.74
125,Butaritari,KI,2022-01-30 07:33:20,3.0707,172.7902,82.44,79,99,18.14
126,Kenai,US,2022-01-30 07:36:34,60.5544,-151.2583,17.69,94,75,0.0
127,Khatanga,RU,2022-01-30 07:34:53,71.9667,102.5,-18.49,94,99,7.63
128,Bonfim,BR,2022-01-30 07:41:13,3.0833,-59.95,76.37,65,99,10.49
129,Salalah,OM,2022-01-30 07:41:14,17.0151,54.0924,78.89,50,20,6.91
130,Shelburne,CA,2022-01-30 07:36:15,44.0787,-80.2041,10.85,83,100,6.82
131,Rio Gallegos,AR,2022-01-30 07:41:16,-51.6226,-69.2181,41.05,87,0,18.41
132,The Valley,AI,2022-01-30 07:34:50,18.217,-63.0578,76.1,75,7,12.62
133,Tuktoyaktuk,CA,2022-01-30 07:36:20,69.4541,-133.0374,-6.36,96,100,16.62
134,Nhulunbuy,AU,2022-01-30 07:41:17,-12.2333,136.7667,77.61,94,75,10.36
135,Yumen,CN,2022-01-30 07:39:00,40.2833,97.2,23.45,32,0,7.2
136,Itaituba,BR,2022-01-30 07:41:17,-4.2761,-55.9836,71.04,100,100,0.83
137,Chuy,UY,2022-01-30 07:36:32,-33.6971,-53.4616,65.52,79,49,3.71
138,Akyab,MM,2022-01-30 07:41:18,20.15,92.9,73.04,46,2,15.64
139,Pemba,MZ,2022-01-30 07:41:20,-12.974,40.5178,79.74,76,50,2.8
140,Verkhnevilyuysk,RU,2022-01-30 07:41:20,63.4453,120.3167,-17.19,99,83,4.05
